Cause Of Conflict (Long),Comment,Dates,End Year,Link,Notes On Targeted Peoples Figures,NULL Highlight,Parameter - Size Sort by,Parameter - Sort by in dashboard,Selected Conflict,Senseless / Conflict Deaths,Size Of Conflict,Source,Start Year,Summary,Tooltip - year(s) plural/singular,Type Of Conflict,Type Of Conflict2,Wikipedia Link,YEARS OF CONFLICT,Deaths,Deaths As % Of Targeted Peoples,Duration Of Conflict,How Many Years?,Months (For Wars <3 Years),No. Targeted Peoples,Size Of Conflict As Integer
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1984,1000000,7.5%,10,10,120,13375000,7
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1985,1000000,7.5%,10,10,120,13375000,7
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1986,1000000,7.5%,10,10,120,13375000,7
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1987,1000000,7.5%,10,10,120,13375000,7
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1988,1000000,7.5%,10,10,120,13375000,7
"Part of the Cold War, it was fought between Soviet-led Afghan forces against multi-national insurgent groups called the Mujahideen.","1,000,000 Afghan deaths (est), 26,000 Soviet deaths",1979-89,1989,http://www.guardian.co.uk/world/2009/oct/18/afghan-war-soviet-invasion-mistakes,"No. of Soviet troops in Afghanistan never made public by officials, but US estimates 115,000.
Population of Afghanistan 1979: 13,260,000.",,,,False,SOVIET WAR IN AFGHANISTAN,INTERNATIONAL,NY Times,1979,Insurgent Mujahideen fighters battled an invading Soviet army and its Afghan allies amid considerable destruction.,years,WAR,,http://en.wikipedia.org/wiki/Soviet_war_in_Afghanistan,1989,1000000,7.5%,10,10,120,13375000,7
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2011,342551,1.7%,4.5,5,36,20501200,2
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2012,342551,1.7%,4.5,5,36,20501200,2
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2013,342551,1.7%,4.5,5,36,20501200,2
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2014,342551,1.7%,4.5,5,36,20501200,2
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2015,342551,1.7%,4.5,5,36,20501200,2
"Conflict began as civil uprising as a response to the regional Arab Spring, government corruption, and human rights abuses. Large-scale unrest began on 15 March 2011 and spread nationwide. The government responded to the protests.","Death toll as of July 2014 - UPDATED 1st Jan 2015

This tally does not include the thousands of forcibly disappeared persons in the regime's detention centres, nor the hundreds of kidnapped members of the regular forces and others taken captive by the rebels.

This tally also does not include the killed pro-regime gunmen (shabiha) before they were organised by the central authority into paramilitaries, nor civilians killed under the term ""regime informant"", due to the secrecy and difficulty of verifying the reports. We estimate the number of dead to be more than 12,000.",2011 - present,2016,http://www.bbc.co.uk/news/world-middle-east-14703995,Population of Syria 2011.,,,,False,SYRIAN CIVIL WAR,SMALL COUNTRY,BBC News; Facebook: Syrian Observatory for Human Rights,2011,A harsh government crackdown on protestors spawned a rebellion & then an armed opposition & eventual civil war.,years,CIVIL WAR,ideological,http://en.wikipedia.org/wiki/Syrian_civil_war,2016,342551,1.7%,4.5,5,36,20501200,2
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1934,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1935,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1936,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1937,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1938,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1939,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1940,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1941,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1942,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1943,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1944,11283000,68.0%,11,11,132,16585000,6
State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany.,,1934-1945,1945,https://books.google.co.uk/books?hl=en&lr=&id=8cX7-ICCHw0C&oi=fnd&pg=PP11&dq=holocaust+death+toll&ots=ETUn0z68Zc&sig=kfb_Ec8ucgFCGa5D0Xba4sslYGQ#v=onepage&q=holocaust%20death%20toll&f=false,"Total targeted population, of which:
European Jews: 9,500,000 
Soviet POW: 5,700,000
People with disabilities: unknown, but est. 350,000 were sterilised due to perceived disabilities 
Roma: 30,000
Homosexuals: 1,005,000 (our calcs, based on est.1.5% of population being homosexual) 
",,,,False,THE HOLOCAUST,LARGE REGION,Rudolph Rummel,1934,State-sponsored genocide of the Jewish people (and other minorities) by Nazi Germany,years,GENOCIDE,,http://en.wikipedia.org/wiki/The_Holocaust,1945,11283000,68.0%,11,11,132,16585000,6
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1965,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1966,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1967,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1968,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1969,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1970,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1971,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1972,1719000,4.2%,8,8,96,41040000,8
Communist uprising against US control in Vietnam.,Rummel,1965-1973,1973,http://www.hawaii.edu/powerkills/SOD.TAB6.1A.GIF,Population of Vietnam 1965 (38.34m) plus US troops who fought in Vietnam (2.7m).,,,,False,VIETNAM WAR,GLOBAL,hawaii dot edu,1965,"Communist uprising against US control in Vietnam. Carpet bombing, extended warfare and a guerilla insurgency led to huge number of fatalities.",years,WAR,,http://en.wikipedia.org/wiki/Vietnam_War,1973,1719000,4.2%,8,8,96,41040000,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2001,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2002,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2003,50000,0.2%,12,12,144,20569200,8
"US troops were deployed into Afghanistan with the goal of finding Osama bin Laden, who the US accused of perpetrating the 9/11 attacks in New York.",does not include taliban deaths - no reliable estimate,2001- present (2013),2013,http://costsofwar.org/article/afghan-civilians,"Including population of affected region 2001, plus international troops. 
Population: 20,531,200
ISAF troops: 18,000
Military contractors: 20,000",,,,False,WAR IN AFGHANISTAN (2001-14),GLOBAL,"Wikipedia, Cost of War project",2001,US troops were deployed to find Osama bin Laden and battle the Islamist Taliban who gave haven to Al Qaeda.,years,WAR,anti-terror,http://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%93present),2004,50000,0.2%,12,12,144,20569200,8
