"Appendix Table 6a. Relative risks used by age and sex for each outcome for all risk factors except for ambient air pollution, alcohol, and smoking",,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,Ages,,,,,,,,,,,,,,,,,,,,,,,
,,,,All-age,0-6 days,7-27 days,28-364 days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80-84 years,85-89 years,90-94 years,95+ years
Diabetes mellitus type 2,31800 METs,Both,Both,"0.688
(0.609 to 0.768)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,32400 METs,Both,Both,"0.687
(0.607 to 0.768)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,33000 METs,Both,Both,"0.686
(0.605 to 0.769)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,3600 METs,Both,Both,"0.786
(0.735 to 0.841)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,4200 METs,Both,Both,"0.737
(0.684 to 0.794)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,4800 METs,Both,Both,"0.736
(0.685 to 0.791)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,5400 METs,Both,Both,"0.735
(0.684 to 0.789)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,600 METs,Both,Both,"0.98
(0.967 to 0.996)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,6000 METs,Both,Both,"0.734
(0.684 to 0.786)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,6600 METs,Both,Both,"0.733
(0.685 to 0.784)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,7200 METs,Both,Both,"0.732
(0.685 to 0.782)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,7800 METs,Both,Both,"0.731
(0.684 to 0.78)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,8400 METs,Both,Both,"0.73
(0.684 to 0.779)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,9000 METs,Both,Both,"0.729
(0.684 to 0.777)",,,,,,,,,,,,,,,,,,,,,,,
Diabetes mellitus type 2,9600 METs,Both,Both,"0.728
(0.684 to 0.776)",,,,,,,,,,,,,,,,,,,,,,,
High fasting plasma glucose (continuous),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ischaemic heart disease,mmol/L,Both,Both,,,,,,,,,,"1.471
(1.147 to 2.099)","1.373
(1.153 to 1.741)","1.274
(1.13 to 1.451)","1.22
(1.085 to 1.365)","1.211
(1.111 to 1.327)","1.201
(1.121 to 1.297)","1.192
(1.123 to 1.269)","1.182
(1.111 to 1.267)","1.173
(1.085 to 1.271)","1.168
(1.08 to 1.273)","1.168
(1.097 to 1.264)","1.169
(1.071 to 1.316)","1.169
(1.071 to 1.316)","1.169
(1.071 to 1.316)","1.169
(1.071 to 1.316)"
Ischaemic stroke,mmol/L,Both,Both,,,,,,,,,,"1.526
(1.11 to 2.227)","1.4
(1.101 to 1.85)","1.275
(1.081 to 1.561)","1.21
(1.044 to 1.441)","1.204
(1.075 to 1.383)","1.199
(1.095 to 1.334)","1.194
(1.108 to 1.302)","1.188
(1.101 to 1.295)","1.183
(1.069 to 1.308)","1.174
(1.056 to 1.309)","1.162
(1.075 to 1.295)","1.133
(1.055 to 1.332)","1.133
(1.055 to 1.332)","1.133
(1.055 to 1.332)","1.133
(1.055 to 1.332)"
Intracerebral hemorrhage,mmol/L,Both,Both,,,,,,,,,,"1.506
(1.112 to 2.221)","1.382
(1.111 to 1.843)","1.258
(1.085 to 1.487)","1.196
(1.053 to 1.371)","1.193
(1.082 to 1.333)","1.191
(1.106 to 1.298)","1.189
(1.115 to 1.262)","1.187
(1.115 to 1.252)","1.184
(1.097 to 1.264)","1.175
(1.087 to 1.263)","1.158
(1.09 to 1.233)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)"
Subarachnoid hemorrhage,mmol/L,Both,Both,,,,,,,,,,"1.506
(1.112 to 2.221)","1.382
(1.111 to 1.843)","1.258
(1.085 to 1.487)","1.196
(1.053 to 1.371)","1.193
(1.082 to 1.333)","1.191
(1.106 to 1.298)","1.189
(1.115 to 1.262)","1.187
(1.115 to 1.252)","1.184
(1.097 to 1.264)","1.175
(1.087 to 1.263)","1.158
(1.09 to 1.233)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)","1.116
(1.056 to 1.25)"
Chronic kidney disease due to hypertension,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
Chronic kidney disease due to glomerulonephritis,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
Chronic kidney disease due to other and unspecified causes,mmol/L,Both,Both,,,,,,,,,,"1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)","1.388
(1.272 to 1.512)"
High fasting plasma glucose (categorical),,,,,,,,,,,,,,,,,,,,,,,,,,,
Latent tuberculosis infection,Diabetic,Both,Both,,,,,,,,,,"2.73
(1.973 to 3.602)","2.801
(2.056 to 3.658)","2.871
(2.047 to 3.698)","2.798
(1.97 to 3.63)","2.581
(1.91 to 3.268)","2.364
(1.817 to 2.943)","2.147
(1.692 to 2.673)","1.93
(1.485 to 2.44)","1.713
(1.231 to 2.317)","1.598
(1.125 to 2.239)","1.587
(1.184 to 2.115)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)"
Latent tuberculosis infection,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Drug-susceptible tuberculosis,Diabetic,Both,Both,,,,,,,,,,"2.73
(1.973 to 3.602)","2.801
(2.056 to 3.658)","2.871
(2.047 to 3.698)","2.798
(1.97 to 3.63)","2.581
(1.91 to 3.268)","2.364
(1.817 to 2.943)","2.147
(1.692 to 2.673)","1.93
(1.485 to 2.44)","1.713
(1.231 to 2.317)","1.598
(1.125 to 2.239)","1.587
(1.184 to 2.115)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)"
Drug-susceptible tuberculosis,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Multidrug-resistant tuberculosis without extensive drug resistance,Diabetic,Both,Both,,,,,,,,,,"2.73
(1.973 to 3.602)","2.801
(2.056 to 3.658)","2.871
(2.047 to 3.698)","2.798
(1.97 to 3.63)","2.581
(1.91 to 3.268)","2.364
(1.817 to 2.943)","2.147
(1.692 to 2.673)","1.93
(1.485 to 2.44)","1.713
(1.231 to 2.317)","1.598
(1.125 to 2.239)","1.587
(1.184 to 2.115)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)"
Multidrug-resistant tuberculosis without extensive drug resistance,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Extensively drug-resistant tuberculosis,Diabetic,Both,Both,,,,,,,,,,"2.73
(1.973 to 3.602)","2.801
(2.056 to 3.658)","2.871
(2.047 to 3.698)","2.798
(1.97 to 3.63)","2.581
(1.91 to 3.268)","2.364
(1.817 to 2.943)","2.147
(1.692 to 2.673)","1.93
(1.485 to 2.44)","1.713
(1.231 to 2.317)","1.598
(1.125 to 2.239)","1.587
(1.184 to 2.115)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)","1.559
(1.182 to 2.174)"
Extensively drug-resistant tuberculosis,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Colon and rectum cancer,Diabetic,Both,Males,,,,,,,,,,"1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)","1.527
(1.081 to 2.304)"
Colon and rectum cancer,Diabetic,Both,Females,,,,,,,,,,"1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)","1.527
(1.086 to 2.315)"
Colon and rectum cancer,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Colon and rectum cancer,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to NASH,Diabetic,Both,Males,,,,,,,,,,"1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)"
Liver cancer due to NASH,Diabetic,Both,Females,,,,,,,,,,"1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)"
Liver cancer due to NASH,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to NASH,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to other causes,Diabetic,Both,Males,,,,,,,,,,"1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)","1.523
(1.093 to 2.3)"
Liver cancer due to other causes,Diabetic,Both,Females,,,,,,,,,,"1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)","1.512
(1.083 to 2.293)"
Liver cancer due to other causes,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Liver cancer due to other causes,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Pancreatic cancer,Diabetic,Both,Males,,,,,,,,,,"1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)","1.517
(1.085 to 2.314)"
Pancreatic cancer,Diabetic,Both,Females,,,,,,,,,,"1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)","1.518
(1.075 to 2.311)"
Pancreatic cancer,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Pancreatic cancer,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",Diabetic,Both,Males,,,,,,,,,,"1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)","1.515
(1.076 to 2.309)"
"Tracheal, bronchus, and lung cancer",Diabetic,Both,Females,,,,,,,,,,"1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)","1.512
(1.087 to 2.299)"
"Tracheal, bronchus, and lung cancer",Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
"Tracheal, bronchus, and lung cancer",Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Breast cancer,Diabetic,Both,Both,,,,,,,,,,"1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)","1.513
(1.087 to 2.206)"
Breast cancer,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Ovarian cancer,Diabetic,Both,Both,,,,,,,,,,"1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)","1.522
(1.092 to 2.32)"
Ovarian cancer,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Bladder cancer,Diabetic,Both,Males,,,,,,,,,,"1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)","1.514
(1.076 to 2.256)"
Bladder cancer,Diabetic,Both,Females,,,,,,,,,,"1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)","1.511
(1.082 to 2.253)"
Bladder cancer,Not diabetic,Both,Males,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Bladder cancer,Not diabetic,Both,Females,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Peripheral vascular disease,Diabetic,Both,Both,,,,,,,,,,"8.264
(6.044 to 9.303)","6.651
(5.375 to 7.452)","5.039
(4.436 to 5.673)","4.138
(3.561 to 4.76)","3.947
(3.447 to 4.504)","3.756
(3.347 to 4.232)","3.565
(3.214 to 3.972)","3.374
(3.079 to 3.714)","3.183
(2.92 to 3.466)","2.992
(2.76 to 3.25)","2.801
(2.558 to 3.05)","2.324
(1.977 to 2.671)","2.324
(1.977 to 2.671)","2.324
(1.977 to 2.671)","2.324
(1.977 to 2.671)"
Peripheral vascular disease,Not diabetic,Both,Both,,,,,,,,,,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
