Appendix Table 6d. Relative risks used by age and sex for each outcome for smoking globally,,,,,,,,,,,,,,,,,
Peptic ulcer disease,6.5 Cigarettes Per Smoker Per Day,Both,Male,"1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)"
Peptic ulcer disease,6.5 Cigarettes Per Smoker Per Day,Both,Female,"1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)","1.824
(1.46 to 2.2)"
Peptic ulcer disease,13 Cigarettes Per Smoker Per Day,Both,Male,"2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)"
Peptic ulcer disease,13 Cigarettes Per Smoker Per Day,Both,Female,"2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)","2.156
(1.764 to 2.568)"
Peptic ulcer disease,19.5 Cigarettes Per Smoker Per Day,Both,Male,"2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)"
Peptic ulcer disease,19.5 Cigarettes Per Smoker Per Day,Both,Female,"2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)","2.519
(2.066 to 2.994)"
Peptic ulcer disease,26 Cigarettes Per Smoker Per Day,Both,Male,"2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)"
Peptic ulcer disease,26 Cigarettes Per Smoker Per Day,Both,Female,"2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)","2.552
(1.952 to 3.262)"
Peptic ulcer disease,32.5 Cigarettes Per Smoker Per Day,Both,Male,"2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)"
Peptic ulcer disease,32.5 Cigarettes Per Smoker Per Day,Both,Female,"2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)","2.888
(2.15 to 3.741)"
Gallbladder and biliary diseases,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Gallbladder and biliary diseases,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Gallbladder and biliary diseases,8.8 Cigarettes Per Smoker Per Day,Both,Male,"1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)"
Gallbladder and biliary diseases,8.8 Cigarettes Per Smoker Per Day,Both,Female,"1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)","1.36
(1.197 to 1.53)"
Gallbladder and biliary diseases,17.5 Cigarettes Per Smoker Per Day,Both,Male,"1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)"
Gallbladder and biliary diseases,17.5 Cigarettes Per Smoker Per Day,Both,Female,"1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)","1.303
(1.178 to 1.429)"
Gallbladder and biliary diseases,26.2 Cigarettes Per Smoker Per Day,Both,Male,"1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)"
Gallbladder and biliary diseases,26.2 Cigarettes Per Smoker Per Day,Both,Female,"1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)","1.398
(1.238 to 1.56)"
Gallbladder and biliary diseases,35 Cigarettes Per Smoker Per Day,Both,Male,"1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)"
Gallbladder and biliary diseases,35 Cigarettes Per Smoker Per Day,Both,Female,"1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)","1.612
(1.295 to 1.96)"
Gallbladder and biliary diseases,43.8 Cigarettes Per Smoker Per Day,Both,Male,"1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)"
Gallbladder and biliary diseases,43.8 Cigarettes Per Smoker Per Day,Both,Female,"1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)","1.81
(1.451 to 2.164)"
Alzheimer's disease and other dementias,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Alzheimer's disease and other dementias,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Alzheimer's disease and other dementias,12 Cigarettes Per Smoker Per Day,Both,Male,"2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)"
Alzheimer's disease and other dementias,12 Cigarettes Per Smoker Per Day,Both,Female,"2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)","2.078
(1.396 to 2.844)"
Alzheimer's disease and other dementias,24 Cigarettes Per Smoker Per Day,Both,Male,"2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)"
Alzheimer's disease and other dementias,24 Cigarettes Per Smoker Per Day,Both,Female,"2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)","2.936
(1.782 to 4.472)"
Alzheimer's disease and other dementias,36 Cigarettes Per Smoker Per Day,Both,Male,"3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)"
Alzheimer's disease and other dementias,36 Cigarettes Per Smoker Per Day,Both,Female,"3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)","3.737
(1.972 to 6.019)"
Alzheimer's disease and other dementias,48 Cigarettes Per Smoker Per Day,Both,Male,"4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)"
Alzheimer's disease and other dementias,48 Cigarettes Per Smoker Per Day,Both,Female,"4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)","4.103
(2.075 to 7.232)"
Parkinson's disease,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Parkinson's disease,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Parkinson's disease,7.5 Cigarettes Per Smoker Per Day,Both,Male,"0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)"
Parkinson's disease,7.5 Cigarettes Per Smoker Per Day,Both,Female,"0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)","0.835
(0.644 to 0.989)"
Parkinson's disease,15 Cigarettes Per Smoker Per Day,Both,Male,"0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)"
Parkinson's disease,15 Cigarettes Per Smoker Per Day,Both,Female,"0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)","0.689
(0.531 to 0.869)"
Parkinson's disease,22.5 Cigarettes Per Smoker Per Day,Both,Male,"0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)"
Parkinson's disease,22.5 Cigarettes Per Smoker Per Day,Both,Female,"0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)","0.604
(0.44 to 0.789)"
Parkinson's disease,30 Cigarettes Per Smoker Per Day,Both,Male,"0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)"
Parkinson's disease,30 Cigarettes Per Smoker Per Day,Both,Female,"0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)","0.52
(0.346 to 0.71)"
Parkinson's disease,37.5 Cigarettes Per Smoker Per Day,Both,Male,"0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)"
Parkinson's disease,37.5 Cigarettes Per Smoker Per Day,Both,Female,"0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)","0.432
(0.238 to 0.644)"
Parkinson's disease,45 Cigarettes Per Smoker Per Day,Both,Male,"0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)"
Parkinson's disease,45 Cigarettes Per Smoker Per Day,Both,Female,"0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)","0.323
(0.127 to 0.561)"
Multiple sclerosis,0 Cigarettes Per Smoker Per Day,Both,Male,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Multiple sclerosis,0 Cigarettes Per Smoker Per Day,Both,Female,"1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)","1.0
(1.0 to 1.0)"
Multiple sclerosis,5.6 Cigarettes Per Smoker Per Day,Both,Male,"1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)"
Multiple sclerosis,5.6 Cigarettes Per Smoker Per Day,Both,Female,"1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)","1.377
(1.152 to 1.617)"
Multiple sclerosis,11.2 Cigarettes Per Smoker Per Day,Both,Male,"1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)"
Multiple sclerosis,11.2 Cigarettes Per Smoker Per Day,Both,Female,"1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)","1.756
(1.49 to 2.048)"
