Author	n (strains)	publication title	journal	publication URL	strains
Ashley Jones et al	8	unknown	unknown	unknown	hCoV-19/Australia/ACT0041/2020,hCoV-19/Australia/ACT0084/2020,hCoV-19/Australia/ACT0074/2020,hCoV-19/Australia/ACT0051/2020,hCoV-19/Australia/ACT0095/2021,hCoV-19/Australia/ACT0088/2020,hCoV-19/Australia/ACT0100/2021,hCoV-19/Australia/ACT0101/2021
Dilcher et al	1	unknown	unknown	unknown	hCoV-19/NewZealand/20CHL869065O/2020
Hatem et al	4	unknown	unknown	unknown	hCoV-19/Egypt/CCHE57357-P-20/2020,hCoV-19/Egypt/CCHE57357_Wave_3_A064/2021,hCoV-19/Egypt/CCHE57357_Wave_3_A068/2021,hCoV-19/Egypt/CCHE57357_Wave_3_A020/2021
Rabeh El-Shesheny et al	2	unknown	unknown	unknown	hCoV-19/Egypt/NRC-6837/2020,hCoV-19/Egypt/NRC-5884/2020
Fatma Bayrakdar et al	16	unknown	unknown	unknown	hCoV-19/Turkey/HSGM-B11142/2021,hCoV-19/Turkey/HSGM-B10235/2021,hCoV-19/Turkey/HSGM-B15659/2021,hCoV-19/Turkey/HSGM-D255/2021,hCoV-19/Turkey/HSGM-1266/2021,hCoV-19/Turkey/HSGM-2187/2021,hCoV-19/Turkey/HSGM-1488/2021,hCoV-19/Turkey/HSGM-MK033/2021,hCoV-19/Turkey/HSGM-B10010/2021,hCoV-19/Turkey/HSGM-C11/2021,hCoV-19/Turkey/HSGM-B18676/2021,hCoV-19/Turkey/HSGM-C4425/2021,hCoV-19/Turkey/HSGM-C5355/2021,hCoV-19/Turkey/HSGM-D8530/2021,hCoV-19/Turkey/HSGM-C13669/2021,hCoV-19/Turkey/HSGM-GF11356/2021
Buss et al	6	unknown	unknown	unknown	hCoV-19/Canada/AB-ABPHL-17024/2021,hCoV-19/Canada/AB-ABPHL-19068/2021,hCoV-19/Canada/AB-ABPHL-16785/2021,hCoV-19/Canada/AB-ABPHL-24049/2021,hCoV-19/Canada/AB-ABPHL-26480/2021,hCoV-19/Canada/AB-ABPHL-27122/2021
Mary Petrone et al	3	unknown	unknown	unknown	hCoV-19/USA/NH-Yale-1309/2020,hCoV-19/USA/CT-Yale-1146/2020,hCoV-19/USA/CT-Yale-1048/2020
Jorge González et al	1	unknown	unknown	unknown	hCoV-19/Chile/MA-CADIUMAG-22/2020
Leonardo I. Almonacid et al	2	unknown	unknown	unknown	hCoV-19/Chile/Santiago-PUC_MVL_0166/2020,hCoV-19/Chile/Santiago-PUC_MVL_0322/2020
Biazzo et al	1	unknown	unknown	unknown	hCoV-19/Malta/BAL-Sliema-1/2020
Barna Goswami et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-NILMRC-228/2020
Anthony LEVASSEUR et al	2	unknown	unknown	unknown	hCoV-19/France/PAC-IHU-0822/2020,hCoV-19/France/PAC-IHUCOVID-2665/2020
Massab Umair et al	9	unknown	unknown	unknown	hCoV-19/Pakistan/NIH-78/2020,hCoV-19/Pakistan/NIH-19/2020,hCoV-19/Pakistan/NIH-63/2020,hCoV-19/Pakistan/NIH-34/2020,hCoV-19/Pakistan/NIH-B12-S18/2021,hCoV-19/Pakistan/NIH-B12-S2/2021,hCoV-19/Pakistan/NIH-S13/2021,hCoV-19/Pakistan/NIH-B12-S5/2021,hCoV-19/Pakistan/NIH-B13-S17/2021
AlWasti et al	5	unknown	unknown	unknown	hCoV-19/Bahrain/340860476_S15/2020,hCoV-19/Bahrain/340564387_S8_L001/2020,hCoV-19/Bahrain/090000572_S16_L001/2020,hCoV-19/Bahrain/340860543/2020,hCoV-19/Bahrain/340513774_S1_L001/2020
Josephine Darpolor et al	1	unknown	unknown	unknown	hCoV-19/USA/RI_RKL_001_38991_AM622/2020
Olawoye et al	3	unknown	unknown	unknown	hCoV-19/Somalia/CV1243/2020,hCoV-19/Nigeria/CV1441/2021,hCoV-19/Nigeria/CV1620/2021
Angel Angelov et al	3	unknown	unknown	unknown	hCoV-19/Congo/UKT-014/2020,hCoV-19/Congo/UKT-002/2020,hCoV-19/Congo/Q001C108AX_2101-TM-r1-022/2020
Catherine E. Arnold et al	6	unknown	unknown	unknown	hCoV-19/Djibouti/NAMRU3-DC20/2021,hCoV-19/Djibouti/NAMRU3-19/2021,hCoV-19/Djibouti/NAMRU3_38/2021,hCoV-19/Djibouti/NAMRU3_A104/2021,hCoV-19/Somalia/NAMRU3-Mog-24/2021,hCoV-19/Somalia/NAMRU3_Mog_18/2021
Molalegne Bitew et al	1	unknown	unknown	unknown	hCoV-19/Ethiopia/ICGEB-S15/2021
Alemayehu et al	1	unknown	unknown	unknown	hCoV-19/Ethiopia/AH-002/2020
Mr. Dawit Hailu Alemayehu et al	1	unknown	unknown	unknown	hCoV-19/Ethiopia/AHRI-002/2020
Katherine Laiton-Donato et al B	1	Substitutions in Spike and Nucleocapsid proteins of SARS-CoV-2 circulating in Colombia	unknown	https://dx.doi.org/10.1101/2020.06.02.20120782	hCoV-19/Colombia/BOL-INS-79738/2020
Rossana C Jaspe et al	16	unknown	unknown	unknown	hCoV-19/Venezuela/Ta2423/2021,hCoV-19/Venezuela/Ta2392/2021,hCoV-19/Venezuela/Zul6567/2021,hCoV-19/Venezuela/Z3094/2021,hCoV-19/Venezuela/Bar6904/2021,hCoV-19/Venezuela/Mir6242/2021,hCoV-19/Venezuela/Ara6800/2021,hCoV-19/Venezuela/Car8286/2021,hCoV-19/Venezuela/Bol4717/2021,hCoV-19/Venezuela/DeA1365/2021,hCoV-19/Venezuela/Yar9463/2021,hCoV-19/Venezuela/Bar7476/2021,hCoV-19/Venezuela/Ap5665/2021,hCoV-19/Venezuela/Bar7126/2021,hCoV-19/Venezuela/Por7193/2021,hCoV-19/Venezuela/Mir3677/2021
Nikita S. D. Sahadeo et al	55	unknown	unknown	unknown	hCoV-19/Guyana/50822/2020,hCoV-19/TrinidadandTobago/TT6949/2020,hCoV-19/TrinidadandTobago/0876/2020,hCoV-19/TrinidadandTobago/39213/2020,hCoV-19/TrinidadandTobago/TT44048/2020,hCoV-19/TrinidadandTobago/TT3347/2020,hCoV-19/SaintVincentandtheGrenadines/71769/2021,hCoV-19/Guyana/50817/2020,hCoV-19/Bermuda/51482/2020,hCoV-19/SaintKittsandNevis/73322/2021,hCoV-19/SaintKittsandNevis/72432/2021,hCoV-19/Guyana/50827/2021,hCoV-19/TrinidadandTobago/65320/2021,hCoV-19/TrinidadandTobago/65324/2021,hCoV-19/TrinidadandTobago/66628/2021,hCoV-19/TrinidadandTobago/72364/2021,hCoV-19/TrinidadandTobago/68895/2021,hCoV-19/TrinidadandTobago/65256/2021,hCoV-19/TrinidadandTobago/73977/2021,hCoV-19/TrinidadandTobago/77965/2021,hCoV-19/TrinidadandTobago/72516/2021,hCoV-19/TrinidadandTobago/66083/2021,hCoV-19/TrinidadandTobago/73954/2021,hCoV-19/TrinidadandTobago/73955/2021,hCoV-19/TrinidadandTobago/71651/2021,hCoV-19/TrinidadandTobago/49697/2021,hCoV-19/TrinidadandTobago/51599/2021,hCoV-19/TrinidadandTobago/49928/2021,hCoV-19/TrinidadandTobago/64880/2021,hCoV-19/TrinidadandTobago/23755/2021,hCoV-19/TrinidadandTobago/66594/2021,hCoV-19/TrinidadandTobago/68586/2021,hCoV-19/TrinidadandTobago/71674/2021,hCoV-19/TrinidadandTobago/50453/2021,hCoV-19/TrinidadandTobago/48650/2021,hCoV-19/TrinidadandTobago/54071/2021,hCoV-19/TrinidadandTobago/64636/2021,hCoV-19/TrinidadandTobago/55453/2021,hCoV-19/TrinidadandTobago/63317/2021,hCoV-19/TrinidadandTobago/64862/2021,hCoV-19/Guyana/50825/2020,hCoV-19/SaintLucia/74394/2021,hCoV-19/SaintLucia/74401/2021,hCoV-19/SaintLucia/66444/2021,hCoV-19/AntiguaandBarbuda/77143/2021,hCoV-19/TrinidadandTobago/60336/2021,hCoV-19/Grenada/75608/2021,hCoV-19/Barbados/71158/2021,hCoV-19/SaintLucia/80750/2021,hCoV-19/TrinidadandTobago/59819/2021,hCoV-19/Barbados/67697/2021,hCoV-19/AntiguaandBarbuda/79640/2021,hCoV-19/SaintVincentandtheGrenadines/79512/2021,hCoV-19/Barbados/79864/2021,hCoV-19/Grenada/81078/2021
Fera Ibrahim et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-UI-MikroFKUI004/2021
Marselina Irasonia Tan et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JB-TFRIC19-R49542/2020
Elena Gasich et al	2	unknown	unknown	unknown	hCoV-19/Belarus/RRCEM-VIS_581/2021,hCoV-19/Belarus/MI-RII-MH11353S/2020
Sylvie Behillil et al	1	unknown	unknown	unknown	hCoV-19/France/BRE-8938/2020
Nadia Rodrigues et al	1	unknown	unknown	unknown	hCoV-19/CaboVerde/PortoNovo_11533/2020
Bas B Oude Munnink et al	38	unknown	unknown	unknown	hCoV-19/Suriname/SR-108/2020,hCoV-19/Suriname/SR-80/2020,hCoV-19/Suriname/SR-240/2021,hCoV-19/Suriname/SR-519/2021,hCoV-19/Suriname/SR-360/2021,hCoV-19/Suriname/SR-523/2021,hCoV-19/Suriname/SR-407/2021,hCoV-19/Suriname/SR-235/2021,hCoV-19/Suriname/SR-242/2021,hCoV-19/Suriname/SR-175/2021,hCoV-19/Suriname/SR-238/2021,hCoV-19/Suriname/SR-300/2021,hCoV-19/Suriname/SR-352/2021,hCoV-19/Suriname/SR-314/2021,hCoV-19/Suriname/SR-239/2021,hCoV-19/Suriname/SR-243/2021,hCoV-19/Suriname/SR-464/2021,hCoV-19/Suriname/SR-258/2021,hCoV-19/Suriname/SR-466/2021,hCoV-19/Suriname/SR-357/2021,hCoV-19/Suriname/SR-271/2021,hCoV-19/Suriname/SR-496/2021,hCoV-19/Suriname/SR-387/2021,hCoV-19/Suriname/SR-411/2021,hCoV-19/Suriname/SR-524/2021,hCoV-19/Suriname/SR-531/2021,hCoV-19/Suriname/SR-278/2021,hCoV-19/Suriname/SR-332/2021,hCoV-19/Suriname/SR-518/2021,hCoV-19/Suriname/SR-526/2021,hCoV-19/Suriname/SR-453/2021,hCoV-19/Suriname/SR-527/2021,hCoV-19/Suriname/SR-427/2021,hCoV-19/Suriname/SR-500/2021,hCoV-19/Suriname/SR-113/2021,hCoV-19/Suriname/SR-244/2021,hCoV-19/Suriname/SR-528/2021,hCoV-19/Suriname/SR-522/2021
Anke Wienecke-Baldacchino et al	21	unknown	unknown	unknown	hCoV-19/Luxembourg/LNS0181724/2020,hCoV-19/Luxembourg/LNS3865010/2020,hCoV-19/Luxembourg/LNS1947589/2020,hCoV-19/Luxembourg/LNS0000001/2020,hCoV-19/Luxembourg/LNS9869551/2021,hCoV-19/Luxembourg/LNS4666960/2021,hCoV-19/Luxembourg/LNS9734497/2021,hCoV-19/Luxembourg/LNS1308805/2020,hCoV-19/Luxembourg/LNS2122915/2020,hCoV-19/Luxembourg/LNS8535402/2021,hCoV-19/Luxembourg/LNS4060722/2021,hCoV-19/Luxembourg/LNS7923659/2021,hCoV-19/Luxembourg/LNS1684584/2021,hCoV-19/Luxembourg/LNS3938755/2021,hCoV-19/Luxembourg/LNS5608194/2021,hCoV-19/Luxembourg/LNS5417881/2021,hCoV-19/Luxembourg/LNS4807858/2021,hCoV-19/Luxembourg/LNS2007603/2021,hCoV-19/Luxembourg/LNS2005827/2021,hCoV-19/Luxembourg/LNS0379289/2021,hCoV-19/Luxembourg/LNS9241100/2021
G Zahra et al	12	unknown	unknown	unknown	hCoV-19/Malta/MDxMDH387/2021,hCoV-19/Malta/MDxMDH417/2021,hCoV-19/Malta/MDxMDH401/2021,hCoV-19/Malta/MDxMDH402/2021,hCoV-19/Malta/MDxMDH439/2021,hCoV-19/Malta/MDxMDH483/2021,hCoV-19/Malta/MDxMDH478/2021,hCoV-19/Malta/MDxMDH506/2021,hCoV-19/Malta/MDxMDH550/2021,hCoV-19/Malta/MDxMDH508/2021,hCoV-19/Malta/MDxMDH527/2021,hCoV-19/Malta/MDxMDH488/2021
?	16	unknown	unknown	unknown	hCoV-19/Germany/NW-RKI-I-010092/2020,hCoV-19/Germany/BW-RKI-I-180547/2021,hCoV-19/Germany/ST-RKI-I-171345/2021,hCoV-19/Germany/SN-RKI-I-148449/2021,hCoV-19/Germany/NW-RKI-I-104750/2021,hCoV-19/Germany/BE-RKI-I-178257/2021,hCoV-19/Germany/NI-RKI-I-150491/2021,hCoV-19/Germany/BB-RKI-I-153523/2021,hCoV-19/Germany/BY-RKI-I-169559/2021,hCoV-19/Germany/NW-RKI-I-201343/2021,hCoV-19/Germany/BW-RKI-I-181568/2021,hCoV-19/Germany/BY-RKI-I-198700/2021,hCoV-19/Germany/BW-RKI-I-186135/2021,hCoV-19/Germany/NW-RKI-I-198192/2021,hCoV-19/Germany/BY-RKI-I-197993/2021,hCoV-19/Germany/BW-RKI-I-194818/2021
Chaoran Chen et al	4	unknown	unknown	unknown	hCoV-19/Switzerland/BE-ETHZ-550521/2020,hCoV-19/Switzerland/AG-ETHZ-581188/2021,hCoV-19/Switzerland/SZ-ETHZ-33284781/2021,hCoV-19/Switzerland/BE-ETHZ-33676053/2021
Ilhem Boutiba-Ben Boubaker et al	1	unknown	unknown	unknown	hCoV-19/Tunisia/58412/2020
Valentin Leducq et al	1	unknown	unknown	unknown	hCoV-19/France/IDF-APHPSorbonneUniversite_723/2020
Antonin Bal et al	6	unknown	unknown	unknown	hCoV-19/Tahiti/HCL021013275301/2020,hCoV-19/Tahiti/HCL021013320801/2021,hCoV-19/France/ARA-HCL021121220501/2021,hCoV-19/France/PAC-HCL021138470401/2021,hCoV-19/France/ARA-HCL990000354726/2021,hCoV-19/France/ARA-HCL021142211701/2021
Marion Barbet et al	31	unknown	unknown	unknown	hCoV-19/France/IDF-IPP04959/2021,hCoV-19/Monaco/IPP04453/2021,hCoV-19/Guadeloupe/IPP14148/2021,hCoV-19/Monaco/IPP04454/2021,hCoV-19/Guadeloupe/IPG-7339/2020,hCoV-19/Madagascar/IPM-39472/2020,hCoV-19/Madagascar/IPM-00798/2021,hCoV-19/France/PDL-IPP13962/2021,hCoV-19/France/PDL-IPP11348/2021,hCoV-19/Guadeloupe/IPP11462/2021,hCoV-19/Guadeloupe/IPP14836/2021,hCoV-19/Guadeloupe/IPP12862/2021,hCoV-19/Guadeloupe/IPP12789/2021,hCoV-19/Guadeloupe/IPP10076/2021,hCoV-19/Guadeloupe/IPP18933/2021,hCoV-19/Guadeloupe/IPP18575/2021,hCoV-19/Guadeloupe/IPP13822/2021,hCoV-19/Madagascar/IPM-40199/2020,hCoV-19/Madagascar/IPM-40282/2020,hCoV-19/France/NOR-IPP10850/2021,hCoV-19/Monaco/IPP20187/2021,hCoV-19/Guadeloupe/IPP14803/2021,hCoV-19/Monaco/IPP20175/2021,hCoV-19/France/IDF-IPP18977/2021,hCoV-19/Guadeloupe/IPP20196/2021,hCoV-19/Guadeloupe/IPP20017/2021,hCoV-19/Monaco/IPP14904/2021,hCoV-19/Monaco/IPP14907/2021,hCoV-19/Monaco/IPP14373/2021,hCoV-19/Monaco/IPP14371/2021,hCoV-19/Monaco/IPP20189/2021
Wael H. Roshdy/ Mohamed Kamal / Shymaa s. Ahmed/ Ramy Galal/Nancy el guindy/ Amelia nagiub/salma sayed/ Abd Monaem Adel/Galal Mahmoud/Dalia Ramadan/Rabeh ..R. El/Shesheny/ Mohamed A Ali/Mohamed Hassany et al	3	unknown	unknown	unknown	hCoV-19/Egypt/CPHL-S8/2021,hCoV-19/Egypt/CPHL-S4/2021,hCoV-19/Egypt/CPHL-S9/2021
Andani Eka Putra et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/SB-93-FKUA/2021,hCoV-19/Indonesia/SB-74-FKUA/2021
Maria I Lusida et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/SU-USU-19NT/2020
Puji Astuti et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KB-TUH-C2133373/2020
Gunadi et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/YO-UGM-202449/2020,hCoV-19/Indonesia/JT-UGM-48660/2020
Chan Chia Jui et al	5	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-16973/2021,hCoV-19/Malaysia/UNIMAS-B359/2021,hCoV-19/Malaysia/UNIMAS-CRC2728/2021,hCoV-19/Malaysia/UNIMAS-17346/2021,hCoV-19/Malaysia/UNIMAS-17322/2021
Palou et al	3	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/PNG086/2021,hCoV-19/PapuaNewGuinea/PNG426/2021,hCoV-19/PapuaNewGuinea/PNG115/2021
Dhahlia Agustina Cahyono et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/SB-GSILab-626554/2021
Sukma Oktavianthi et al	2	unknown	unknown	unknown	hCoV-19/Indonesia/JA-EIJK-RSRM-130/2021,hCoV-19/Indonesia/JT-EIJK0745/2021
Son Nguyen et al.	1	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/QLD-PNG-82/2021
Salman Al-Sabah et al	3	unknown	unknown	unknown	hCoV-19/Kuwait/SKS00109-JAH/2020,hCoV-19/Kuwait/JAH3092399/2021,hCoV-19/Kuwait/JAH3091526/2021
Amit Kumar Subudhi et al	2	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-MADINAH1123/2020,hCoV-19/SaudiArabia/KAUST-JEDDAH754/2020
Md. Imran Khan et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/DNAS_DRICM_isl_OPS_3/2020
Dr. Varsha Potdar et al	3	unknown	unknown	unknown	hCoV-19/India/GJ-ICMR-NIV-INSACOG-VOC-644/2020,hCoV-19/India/MH-ICMR-NIV-INSACOG-2019nCoV-297091/2021,hCoV-19/India/MH-ICMR-NIV-INSACOG-GSEQ-5188/2021
Irfan et al	4	unknown	unknown	unknown	hCoV-19/Pakistan/JRCGR_SCV-60_IBGE-12/2020,hCoV-19/Pakistan/JRCGR_SCV-55_IBGE-07/2020,hCoV-19/Pakistan/JRCGR_SCV-75/2021,hCoV-19/Pakistan/JRCGR_SCV-102/2021
ANDLEEB HANIF et al	2	unknown	unknown	unknown	hCoV-19/Pakistan/PPHRL-AH002/2021,hCoV-19/Pakistan/PPHRL-AH49/2021
Ekta Gupta et al	1	unknown	unknown	unknown	hCoV-19/India/DL-ILBS-20153/2020
Sonal Sharma et al	1	unknown	unknown	unknown	hCoV-19/India/GJ-GBRC553a/2021
Zigui Chen et al	3	unknown	unknown	unknown	hCoV-19/HongKong/CUHK-NC8635/2020,hCoV-19/HongKong/CUHK-NC3268/2020,hCoV-19/HongKong/CUHK-NC5958/2020
Kathy H.L. Po et al	1	unknown	unknown	unknown	hCoV-19/HongKong/VM21018757/2021
Gilman Kit-Hang Siu et al	4	unknown	unknown	unknown	hCoV-19/HongKong/HKPU-10041/2021,hCoV-19/HongKong/HKPU-10615/2021,hCoV-19/HongKong/HKPU-05073/2020,hCoV-19/HongKong/HKPU-11817/2021
Shakeel et al	1	unknown	unknown	unknown	hCoV-19/Pakistan/JRCGR-KHI36/2020
Dler et al	1	unknown	unknown	unknown	hCoV-19/Iraq/NN_Erbil/2021
Caly L. et al B	21	unknown	unknown	unknown	hCoV-19/Australia/VIC18139/2021,hCoV-19/Australia/VIC18468/2021,hCoV-19/Australia/VIC18714/2021,hCoV-19/Australia/VIC18461/2021,hCoV-19/Australia/VIC18469/2021,hCoV-19/Australia/VIC18481/2021,hCoV-19/Australia/VIC18488/2021,hCoV-19/Australia/VIC18542/2021,hCoV-19/Australia/VIC18470/2021,hCoV-19/Australia/VIC2460/2020,hCoV-19/Australia/VIC1888/2020,hCoV-19/Australia/VIC6106/2020,hCoV-19/Australia/VIC18571/2021,hCoV-19/Australia/VIC18735/2021,hCoV-19/Australia/VIC18476/2021,hCoV-19/Australia/VIC18673/2021,hCoV-19/Australia/VIC18959/2021,hCoV-19/Australia/VIC18814/2021,hCoV-19/Australia/VIC18439/2021,hCoV-19/Australia/VIC18883/2021,hCoV-19/Australia/VIC19069/2021
Htay Htay Tin et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/99555-20/2020
Sokhoun Yann et al	2	unknown	unknown	unknown	hCoV-19/Cambodia/180575/2020,hCoV-19/Cambodia/VIR2107864/2021
Oo et al	1	unknown	unknown	unknown	hCoV-19/Myanmar/DSMRC-010/2021
Chan Yean Yean et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/C9644/2020
V Salimi et al	2	unknown	unknown	unknown	hCoV-19/Iran/Ghilan-M30-241/2020,hCoV-19/Iran/Kerman-NIC-K1/2021
H. M. Abdullah Al Masud et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/CU-CTG-67/2020
Nihad Al-Rashedi et al	4	unknown	unknown	unknown	hCoV-19/Iraq/Samawa-18/2021,hCoV-19/Iraq/Samawa-26/2021,hCoV-19/Iraq/Thi-Qar-4/2021,hCoV-19/Iraq/Thi-Qar-1/2021
Zahra Ahmadi et al	1	unknown	unknown	unknown	hCoV-19/Iran/9GS/2020
Robert Paulino-Ramirez et al	1	unknown	unknown	unknown	hCoV-19/DominicanRepublic/ICGEB_UNIBE051/2020
Neta Zuckerman et al	14	unknown	unknown	unknown	hCoV-19/Israel/CVL-n18467/2020,hCoV-19/Israel/CVL-s2057/2020,hCoV-19/Israel/CVL-n-5939/2020,hCoV-19/Israel/CVL-n896/2020,hCoV-19/Israel/CVL-n26122/2020,hCoV-19/Israel/CVL-1922/2021,hCoV-19/Israel/CVL-9317/2021,hCoV-19/Israel/CVL-13509/2021,hCoV-19/Israel/CVL-13221/2021,hCoV-19/Israel/CVL-13715/2021,hCoV-19/Israel/CVL-12116/2021,hCoV-19/Israel/CVL-12895/2021,hCoV-19/Israel/CVL-13818/2021,hCoV-19/Israel/CVL-14952/2021
Stephanie Lunn et al	2	unknown	unknown	unknown	hCoV-19/USA/KY-KSPHL-100200/2020,hCoV-19/USA/KY-KSPHL-100037/2020
Chandima Jeewandara et al	15	unknown	unknown	unknown	hCoV-19/SriLanka/CDR-KK57/2020,hCoV-19/SriLanka/Cov5260/2020,hCoV-19/SriLanka/CA89635/2021,hCoV-19/SriLanka/BIN44/2020,hCoV-19/SriLanka/N22/2021,hCoV-19/SriLanka/CMC101955/2021,hCoV-19/SriLanka/CDR76/2021,hCoV-19/SriLanka/aicbu12/2021,hCoV-19/SriLanka/CDR158/2021,hCoV-19/SriLanka/CDR96/2021,hCoV-19/SriLanka/CMC117996/2021,hCoV-19/SriLanka/aicbu830/2021,hCoV-19/SriLanka/aicbu612/2021,hCoV-19/SriLanka/aicbu935/2021,hCoV-19/SriLanka/aicbu648/2021
HS Jayasinghearachchi et al	2	unknown	unknown	unknown	hCoV-19/SriLanka/KDU0107/2020,hCoV-19/SriLanka/KDU0101/2020
Rita Feghali et al	1	unknown	unknown	unknown	hCoV-19/Lebanon/S8_767/2020
Yadouleton et al	1	Diagnostics and spread of SARS-CoV-2 in Western Africa: An observational laboratory-based study from Benin	unknown	https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1	hCoV-19/Benin/314/2020
Nalia Ismael et al	12	unknown	unknown	unknown	hCoV-19/Mozambique/CERI-KRISP-K015089/2021,hCoV-19/Mozambique/INS-K008794/2021,hCoV-19/Mozambique/CERI-KRISP-K021175/2021,hCoV-19/Mozambique/CERI-KRISP-K021201/2021,hCoV-19/Mozambique/CERI-KRISP-K021124/2021,hCoV-19/Mozambique/CERI-KRISP-K021159/2021,hCoV-19/Mozambique/CERI-KRISP-K021166/2021,hCoV-19/Mozambique/CERI-KRISP-K021115/2021,hCoV-19/Mozambique/CERI-KRISP-K021117/2021,hCoV-19/Mozambique/CERI-KRISP-K021178/2021,hCoV-19/Mozambique/CERI-KRISP-K021116/2021,hCoV-19/Mozambique/CERI-KRISP-K021118/2021
Seadawy et al	3	unknown	unknown	unknown	hCoV-19/Egypt/EGY-021/2020,hCoV-19/Egypt/EGY-025/2020,hCoV-19/Egypt/EGY-040/2020
María Delia Foussal et al	2	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-E0113/2020,hCoV-19/Argentina/PAIS-E0167/2021
David Perera et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-M3002/2020
Robin Marwal et al	1	unknown	unknown	unknown	hCoV-19/India/DL-NCDC-120980/2021
Alla Mironenko et al	2	unknown	unknown	unknown	hCoV-19/Ukraine/Uzhgorod_36/2020,hCoV-19/Ukraine/Chernivtsi_860/2020
Sully Márquez et al	8	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-485/2020,hCoV-19/Ecuador/USFQ-1926/2021,hCoV-19/Ecuador/USFQ-1296/2021,hCoV-19/Ecuador/USFQ-1928/2021,hCoV-19/Ecuador/USFQ-1944/2021,hCoV-19/Ecuador/USFQ-1204/2021,hCoV-19/Ecuador/USFQ-1203/2021,hCoV-19/Ecuador/USFQ-1932/2021
Mike Grose et al	4	unknown	unknown	unknown	hCoV-19/USA/KS-KHEL-2570/2020,hCoV-19/USA/KS-KHEL-1283/2021,hCoV-19/USA/KS-KHEL-4531/2021,hCoV-19/USA/KS-KHEL-2735/2021
PHE Covid Sequencing Team et al	9	unknown	unknown	unknown	hCoV-19/Ukraine/203100365/2020,hCoV-19/Ukraine/203100350/2020,hCoV-19/Bermuda/204990927/2020,hCoV-19/Ukraine/203100360/2020,hCoV-19/Albania/210901070/2021,hCoV-19/Albania/210901052/2021,hCoV-19/England/PHEC-R304R959/2021,hCoV-19/Ukraine/203100355/2020,hCoV-19/England/PHEP-002055/2021
Juan-Manuel Anaya et al	1	unknown	unknown	unknown	hCoV-19/Colombia/DC-C102/2020
Mikhail Hanewich-Hollatz et al	2	unknown	unknown	unknown	hCoV-19/USA/DE-Curative-051376/2021,hCoV-19/USA/DE-Curative-001425/2021
Michael Zody et al	3	unknown	unknown	unknown	hCoV-19/USA/NJ-NYGC-S-JF-6303-WFZB889/2021,hCoV-19/Mexico/YUC-NYGC-1191-SM/2021,hCoV-19/Mexico/YUC-NYGC-33987-20/2020
Alfredo Bruno et al	16	unknown	unknown	unknown	hCoV-19/Ecuador/NIC-INSPI-1839-2157/2021,hCoV-19/Ecuador/NIC-INSPI-1813-1989/2021,hCoV-19/Ecuador/NIC-INSPI-336161/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2827/2021,hCoV-19/Ecuador/NIC-INSPI-325568/2021,hCoV-19/Ecuador/NIC-INSPI-343154/2021,hCoV-19/Ecuador/NIC-INSPI-337072/2021,hCoV-19/Ecuador/NIC-INSPI-317345/2021,hCoV-19/Ecuador/NIC-INSPI-328470/2021,hCoV-19/Ecuador/NIC-INSPI-327607/2021,hCoV-19/Ecuador/NIC-INSPI-328950/2021,hCoV-19/Ecuador/NIC-INSPI-317529/2021,hCoV-19/Ecuador/NIC-INSPI-48399/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2926/2021,hCoV-19/Ecuador/NIC-INSPI-330079/2021,hCoV-19/Ecuador/NIC-INSPI-0421-2773/2021
Andres F. Cardona-Rios et al	2	unknown	unknown	unknown	hCoV-19/Colombia/ANT-CWOHC-VG-PSEC01119A/2021,hCoV-19/Colombia/ANT-CWOHC-VG-SEC00708F/2021
Stephanie DeRonde et al	5	unknown	unknown	unknown	hCoV-19/USA/AK-PHL9117/2021,hCoV-19/USA/AK-PHL8440/2021,hCoV-19/USA/AK-PHL9856/2021,hCoV-19/USA/AK-PHL10099/2021,hCoV-19/USA/AK-PHL11120/2021
